2020-01-20,Seoul,0
2020-01-20,Busan,0
2020-01-20,Daegu,0
2020-01-20,Incheon,1
2020-01-20,Gwangju,0
2020-01-20,Daejeon,0
2020-01-20,Ulsan,0
2020-01-20,Sejong,0
2020-01-20,Gyeonggi-do,0
2020-01-20,Gangwon-do,0
2020-01-20,Chungcheongbuk-do,0
2020-01-20,Chungcheongnam-do,0
2020-01-20,Jeollabuk-do,0
2020-01-20,Jeollanam-do,0
2020-01-20,Gyeongsangbuk-do,0
2020-01-20,Gyeongsangnam-do,0
2020-01-20,Jeju-do,0
2020-01-21,Seoul,0
2020-01-21,Busan,0
2020-01-21,Daegu,0
2020-01-21,Incheon,0
2020-01-21,Gwangju,0
2020-01-21,Daejeon,0
2020-01-21,Ulsan,0
2020-01-21,Sejong,0
2020-01-21,Gyeonggi-do,0
2020-01-21,Gangwon-do,0
2020-01-21,Chungcheongbuk-do,0
2020-01-21,Chungcheongnam-do,0
2020-01-21,Jeollabuk-do,0
2020-01-21,Jeollanam-do,0
2020-01-21,Gyeongsangbuk-do,0
2020-01-21,Gyeongsangnam-do,0
2020-01-21,Jeju-do,0
2020-01-22,Seoul,0
2020-01-22,Busan,0
2020-01-22,Daegu,0
2020-01-22,Incheon,0
2020-01-22,Gwangju,0
2020-01-22,Daejeon,0
2020-01-22,Ulsan,0
2020-01-22,Sejong,0
2020-01-22,Gyeonggi-do,0
2020-01-22,Gangwon-do,0
2020-01-22,Chungcheongbuk-do,0
2020-01-22,Chungcheongnam-do,0
2020-01-22,Jeollabuk-do,0
2020-01-22,Jeollanam-do,0
2020-01-22,Gyeongsangbuk-do,0
2020-01-22,Gyeongsangnam-do,0
2020-01-22,Jeju-do,0
2020-01-23,Seoul,0
2020-01-23,Busan,0
2020-01-23,Daegu,0
2020-01-23,Incheon,0
2020-01-23,Gwangju,0
2020-01-23,Daejeon,0
2020-01-23,Ulsan,0
2020-01-23,Sejong,0
2020-01-23,Gyeonggi-do,0
2020-01-23,Gangwon-do,0
2020-01-23,Chungcheongbuk-do,0
2020-01-23,Chungcheongnam-do,0
2020-01-23,Jeollabuk-do,0
2020-01-23,Jeollanam-do,0
2020-01-23,Gyeongsangbuk-do,0
2020-01-23,Gyeongsangnam-do,0
2020-01-23,Jeju-do,0
2020-01-24,Seoul,0
2020-01-24,Busan,0
2020-01-24,Daegu,0
2020-01-24,Incheon,0
2020-01-24,Gwangju,0
2020-01-24,Daejeon,0
2020-01-24,Ulsan,0
2020-01-24,Sejong,0
2020-01-24,Gyeonggi-do,1
2020-01-24,Gangwon-do,0
2020-01-24,Chungcheongbuk-do,0
2020-01-24,Chungcheongnam-do,0
2020-01-24,Jeollabuk-do,0
2020-01-24,Jeollanam-do,0
2020-01-24,Gyeongsangbuk-do,0
2020-01-24,Gyeongsangnam-do,0
2020-01-24,Jeju-do,0
2020-01-25,Seoul,0
2020-01-25,Busan,0
2020-01-25,Daegu,0
2020-01-25,Incheon,0
2020-01-25,Gwangju,0
2020-01-25,Daejeon,0
2020-01-25,Ulsan,0
2020-01-25,Sejong,0
2020-01-25,Gyeonggi-do,0
2020-01-25,Gangwon-do,0
2020-01-25,Chungcheongbuk-do,0
2020-01-25,Chungcheongnam-do,0
2020-01-25,Jeollabuk-do,0
2020-01-25,Jeollanam-do,0
2020-01-25,Gyeongsangbuk-do,0
2020-01-25,Gyeongsangnam-do,0
2020-01-25,Jeju-do,0
2020-01-26,Seoul,0
2020-01-26,Busan,0
2020-01-26,Daegu,0
2020-01-26,Incheon,0
2020-01-26,Gwangju,0
2020-01-26,Daejeon,0
2020-01-26,Ulsan,0
2020-01-26,Sejong,0
2020-01-26,Gyeonggi-do,1
2020-01-26,Gangwon-do,0
2020-01-26,Chungcheongbuk-do,0
2020-01-26,Chungcheongnam-do,0
2020-01-26,Jeollabuk-do,0
2020-01-26,Jeollanam-do,0
2020-01-26,Gyeongsangbuk-do,0
2020-01-26,Gyeongsangnam-do,0
2020-01-26,Jeju-do,0
2020-01-27,Seoul,1
2020-01-27,Busan,0
2020-01-27,Daegu,0
2020-01-27,Incheon,0
2020-01-27,Gwangju,0
2020-01-27,Daejeon,0
2020-01-27,Ulsan,0
2020-01-27,Sejong,0
2020-01-27,Gyeonggi-do,0
2020-01-27,Gangwon-do,0
2020-01-27,Chungcheongbuk-do,0
2020-01-27,Chungcheongnam-do,0
2020-01-27,Jeollabuk-do,0
2020-01-27,Jeollanam-do,0
2020-01-27,Gyeongsangbuk-do,0
2020-01-27,Gyeongsangnam-do,0
2020-01-27,Jeju-do,0
2020-01-28,Seoul,0
2020-01-28,Busan,0
2020-01-28,Daegu,0
2020-01-28,Incheon,0
2020-01-28,Gwangju,0
2020-01-28,Daejeon,0
2020-01-28,Ulsan,0
2020-01-28,Sejong,0
2020-01-28,Gyeonggi-do,0
2020-01-28,Gangwon-do,0
2020-01-28,Chungcheongbuk-do,0
2020-01-28,Chungcheongnam-do,0
2020-01-28,Jeollabuk-do,0
2020-01-28,Jeollanam-do,0
2020-01-28,Gyeongsangbuk-do,0
2020-01-28,Gyeongsangnam-do,0
2020-01-28,Jeju-do,0
2020-01-29,Seoul,0
2020-01-29,Busan,0
2020-01-29,Daegu,0
2020-01-29,Incheon,0
2020-01-29,Gwangju,0
2020-01-29,Daejeon,0
2020-01-29,Ulsan,0
2020-01-29,Sejong,0
2020-01-29,Gyeonggi-do,0
2020-01-29,Gangwon-do,0
2020-01-29,Chungcheongbuk-do,0
2020-01-29,Chungcheongnam-do,0
2020-01-29,Jeollabuk-do,0
2020-01-29,Jeollanam-do,0
2020-01-29,Gyeongsangbuk-do,0
2020-01-29,Gyeongsangnam-do,0
2020-01-29,Jeju-do,0
2020-01-30,Seoul,2
2020-01-30,Busan,0
2020-01-30,Daegu,0
2020-01-30,Incheon,0
2020-01-30,Gwangju,0
2020-01-30,Daejeon,0
2020-01-30,Ulsan,0
2020-01-30,Sejong,0
2020-01-30,Gyeonggi-do,1
2020-01-30,Gangwon-do,0
2020-01-30,Chungcheongbuk-do,0
2020-01-30,Chungcheongnam-do,0
2020-01-30,Jeollabuk-do,0
2020-01-30,Jeollanam-do,0
2020-01-30,Gyeongsangbuk-do,0
2020-01-30,Gyeongsangnam-do,0
2020-01-30,Jeju-do,0
2020-01-31,Seoul,1
2020-01-31,Busan,0
2020-01-31,Daegu,0
2020-01-31,Incheon,0
2020-01-31,Gwangju,0
2020-01-31,Daejeon,0
2020-01-31,Ulsan,0
2020-01-31,Sejong,0
2020-01-31,Gyeonggi-do,2
2020-01-31,Gangwon-do,0
2020-01-31,Chungcheongbuk-do,0
2020-01-31,Chungcheongnam-do,0
2020-01-31,Jeollabuk-do,1
2020-01-31,Jeollanam-do,0
2020-01-31,Gyeongsangbuk-do,0
2020-01-31,Gyeongsangnam-do,0
2020-01-31,Jeju-do,0
2020-02-01,Seoul,0
2020-02-01,Busan,0
2020-02-01,Daegu,0
2020-02-01,Incheon,0
2020-02-01,Gwangju,0
2020-02-01,Daejeon,0
2020-02-01,Ulsan,0
2020-02-01,Sejong,0
2020-02-01,Gyeonggi-do,1
2020-02-01,Gangwon-do,0
2020-02-01,Chungcheongbuk-do,0
2020-02-01,Chungcheongnam-do,0
2020-02-01,Jeollabuk-do,0
2020-02-01,Jeollanam-do,0
2020-02-01,Gyeongsangbuk-do,0
2020-02-01,Gyeongsangnam-do,0
2020-02-01,Jeju-do,0
2020-02-02,Seoul,1
2020-02-02,Busan,0
2020-02-02,Daegu,0
2020-02-02,Incheon,0
2020-02-02,Gwangju,0
2020-02-02,Daejeon,0
2020-02-02,Ulsan,0
2020-02-02,Sejong,0
2020-02-02,Gyeonggi-do,2
2020-02-02,Gangwon-do,0
2020-02-02,Chungcheongbuk-do,0
2020-02-02,Chungcheongnam-do,0
2020-02-02,Jeollabuk-do,0
2020-02-02,Jeollanam-do,0
2020-02-02,Gyeongsangbuk-do,0
2020-02-02,Gyeongsangnam-do,0
2020-02-02,Jeju-do,0
2020-02-03,Seoul,0
2020-02-03,Busan,0
2020-02-03,Daegu,0
2020-02-03,Incheon,0
2020-02-03,Gwangju,0
2020-02-03,Daejeon,0
2020-02-03,Ulsan,0
2020-02-03,Sejong,0
2020-02-03,Gyeonggi-do,0
2020-02-03,Gangwon-do,0
2020-02-03,Chungcheongbuk-do,0
2020-02-03,Chungcheongnam-do,0
2020-02-03,Jeollabuk-do,0
2020-02-03,Jeollanam-do,0
2020-02-03,Gyeongsangbuk-do,0
2020-02-03,Gyeongsangnam-do,0
2020-02-03,Jeju-do,0
2020-02-04,Seoul,0
2020-02-04,Busan,0
2020-02-04,Daegu,0
2020-02-04,Incheon,0
2020-02-04,Gwangju,1
2020-02-04,Daejeon,0
2020-02-04,Ulsan,0
2020-02-04,Sejong,0
2020-02-04,Gyeonggi-do,0
2020-02-04,Gangwon-do,0
2020-02-04,Chungcheongbuk-do,0
2020-02-04,Chungcheongnam-do,0
2020-02-04,Jeollabuk-do,0
2020-02-04,Jeollanam-do,0
2020-02-04,Gyeongsangbuk-do,0
2020-02-04,Gyeongsangnam-do,0
2020-02-04,Jeju-do,0
2020-02-05,Seoul,0
2020-02-05,Busan,0
2020-02-05,Daegu,0
2020-02-05,Incheon,0
2020-02-05,Gwangju,0
2020-02-05,Daejeon,0
2020-02-05,Ulsan,0
2020-02-05,Sejong,0
2020-02-05,Gyeonggi-do,2
2020-02-05,Gangwon-do,0
2020-02-05,Chungcheongbuk-do,0
2020-02-05,Chungcheongnam-do,0
2020-02-05,Jeollabuk-do,0
2020-02-05,Jeollanam-do,0
2020-02-05,Gyeongsangbuk-do,0
2020-02-05,Gyeongsangnam-do,0
2020-02-05,Jeju-do,0
2020-02-06,Seoul,5
2020-02-06,Busan,0
2020-02-06,Daegu,0
2020-02-06,Incheon,0
2020-02-06,Gwangju,0
2020-02-06,Daejeon,0
2020-02-06,Ulsan,0
2020-02-06,Sejong,0
2020-02-06,Gyeonggi-do,0
2020-02-06,Gangwon-do,0
2020-02-06,Chungcheongbuk-do,0
2020-02-06,Chungcheongnam-do,0
2020-02-06,Jeollabuk-do,0
2020-02-06,Jeollanam-do,0
2020-02-06,Gyeongsangbuk-do,0
2020-02-06,Gyeongsangnam-do,0
2020-02-06,Jeju-do,0
2020-02-07,Seoul,1
2020-02-07,Busan,0
2020-02-07,Daegu,0
2020-02-07,Incheon,0
2020-02-07,Gwangju,0
2020-02-07,Daejeon,0
2020-02-07,Ulsan,0
2020-02-07,Sejong,0
2020-02-07,Gyeonggi-do,0
2020-02-07,Gangwon-do,0
2020-02-07,Chungcheongbuk-do,0
2020-02-07,Chungcheongnam-do,0
2020-02-07,Jeollabuk-do,0
2020-02-07,Jeollanam-do,0
2020-02-07,Gyeongsangbuk-do,0
2020-02-07,Gyeongsangnam-do,0
2020-02-07,Jeju-do,0
2020-02-08,Seoul,0
2020-02-08,Busan,0
2020-02-08,Daegu,0
2020-02-08,Incheon,0
2020-02-08,Gwangju,0
2020-02-08,Daejeon,0
2020-02-08,Ulsan,0
2020-02-08,Sejong,0
2020-02-08,Gyeonggi-do,0
2020-02-08,Gangwon-do,0
2020-02-08,Chungcheongbuk-do,0
2020-02-08,Chungcheongnam-do,0
2020-02-08,Jeollabuk-do,0
2020-02-08,Jeollanam-do,0
2020-02-08,Gyeongsangbuk-do,0
2020-02-08,Gyeongsangnam-do,0
2020-02-08,Jeju-do,0
2020-02-09,Seoul,3
2020-02-09,Busan,0
2020-02-09,Daegu,0
2020-02-09,Incheon,0
2020-02-09,Gwangju,0
2020-02-09,Daejeon,0
2020-02-09,Ulsan,0
2020-02-09,Sejong,0
2020-02-09,Gyeonggi-do,0
2020-02-09,Gangwon-do,0
2020-02-09,Chungcheongbuk-do,0
2020-02-09,Chungcheongnam-do,0
2020-02-09,Jeollabuk-do,0
2020-02-09,Jeollanam-do,0
2020-02-09,Gyeongsangbuk-do,0
2020-02-09,Gyeongsangnam-do,0
2020-02-09,Jeju-do,0
2020-02-10,Seoul,0
2020-02-10,Busan,0
2020-02-10,Daegu,0
2020-02-10,Incheon,0
2020-02-10,Gwangju,0
2020-02-10,Daejeon,0
2020-02-10,Ulsan,0
2020-02-10,Sejong,0
2020-02-10,Gyeonggi-do,0
2020-02-10,Gangwon-do,0
2020-02-10,Chungcheongbuk-do,0
2020-02-10,Chungcheongnam-do,0
2020-02-10,Jeollabuk-do,0
2020-02-10,Jeollanam-do,0
2020-02-10,Gyeongsangbuk-do,0
2020-02-10,Gyeongsangnam-do,0
2020-02-10,Jeju-do,0
2020-02-11,Seoul,0
2020-02-11,Busan,0
2020-02-11,Daegu,0
2020-02-11,Incheon,0
2020-02-11,Gwangju,0
2020-02-11,Daejeon,0
2020-02-11,Ulsan,0
2020-02-11,Sejong,0
2020-02-11,Gyeonggi-do,2
2020-02-11,Gangwon-do,0
2020-02-11,Chungcheongbuk-do,0
2020-02-11,Chungcheongnam-do,0
2020-02-11,Jeollabuk-do,0
2020-02-11,Jeollanam-do,0
2020-02-11,Gyeongsangbuk-do,0
2020-02-11,Gyeongsangnam-do,0
2020-02-11,Jeju-do,0
2020-02-12,Seoul,0
2020-02-12,Busan,0
2020-02-12,Daegu,0
2020-02-12,Incheon,0
2020-02-12,Gwangju,0
2020-02-12,Daejeon,0
2020-02-12,Ulsan,0
2020-02-12,Sejong,0
2020-02-12,Gyeonggi-do,0
2020-02-12,Gangwon-do,0
2020-02-12,Chungcheongbuk-do,0
2020-02-12,Chungcheongnam-do,0
2020-02-12,Jeollabuk-do,0
2020-02-12,Jeollanam-do,0
2020-02-12,Gyeongsangbuk-do,0
2020-02-12,Gyeongsangnam-do,0
2020-02-12,Jeju-do,0
2020-02-13,Seoul,0
2020-02-13,Busan,0
2020-02-13,Daegu,0
2020-02-13,Incheon,0
2020-02-13,Gwangju,0
2020-02-13,Daejeon,0
2020-02-13,Ulsan,0
2020-02-13,Sejong,0
2020-02-13,Gyeonggi-do,0
2020-02-13,Gangwon-do,0
2020-02-13,Chungcheongbuk-do,0
2020-02-13,Chungcheongnam-do,0
2020-02-13,Jeollabuk-do,0
